year,naics,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
1958,336111,146.1,868.4,116.2,229.7,650.6,5007.9,3411.3,1563.8,80.3,428.0,59.9,15010.0,3291.1,11718.8,0.314000010490417,0.238000005483627,0.180000007152557,0.146999999880791,,0.552999973297119,,0.550000011920929
1959,336111,160.6,1072.6,131.0,283.2,827.2,6422.2,4306.7,2143.4,93.0,521.7,64.1,14873.2,3457.5,11415.6,0.321999996900558,0.243000000715256,0.184000000357628,0.144999995827675,0.0520000010728836,0.583000004291534,0.0529999993741512,0.579999983310699
1960,336111,176.1,1183.7,144.7,302.8,925.7,7239.0,4883.5,2336.2,111.2,495.6,68.4,15048.0,3673.0,11375.1,0.317999988794327,0.24099999666214,0.189999997615814,0.150000005960464,0.0299999993294477,0.601000010967255,0.0299999993294477,0.59799998998642
1961,336111,152.4,1035.7,123.2,252.9,789.5,6214.2,4134.9,2053.6,91.8,495.8,72.7,14974.0,3794.2,11179.9,0.31700000166893,0.241999998688698,0.189999997615814,0.145999997854233,-0.0070000002160668,0.596000015735626,-0.0089999996125698,0.592000007629395
1962,336111,168.2,1223.6,138.4,297.1,954.7,7855.3,5187.9,2671.2,118.3,543.7,77.1,15049.2,3908.1,11141.2,0.314999997615814,0.24600000679493,0.193000003695488,0.146999999880791,0.0769999995827675,0.643999993801117,0.0780000016093254,0.640999972820282
1963,336111,160.6,1231.7,132.2,293.9,972.0,8254.4,5518.5,2748.9,144.9,557.5,80.6,15181.0,4169.6,11011.5,0.312999993562698,0.245000004768372,0.194999992847443,0.146999999880791,0.0140000004321337,0.652999997138977,0.0140000004321337,0.648999989032745
1964,336111,182.4,1454.1,150.5,328.2,1141.3,9006.7,5920.9,3142.6,211.3,709.0,78.3,15642.8,4532.5,11110.4,0.312999993562698,0.248999997973442,0.199000000953674,0.145999997854233,0.028999999165535,0.671999990940094,0.0299999993294477,0.669000029563904
1965,336111,207.6,1739.1,172.9,381.9,1383.5,11129.6,7354.7,3815.1,296.3,792.5,75.7,16791.3,5085.9,11705.3,0.312999993562698,0.254000008106232,0.202999994158745,0.14300000667572,0.0439999997615814,0.703000009059906,0.046000000089407,0.699999988079071
1966,336111,214.2,1795.4,178.7,378.1,1415.8,11003.3,7324.6,3728.3,268.9,832.2,73.0,17277.7,5788.4,11489.3,0.312000006437302,0.257999986410141,0.209000006318092,0.143999993801117,0.0010000000474974,0.703999996185303,0.0020000000949949,0.700999975204468
1967,336111,183.6,1531.8,150.6,303.3,1190.0,9357.0,6228.7,3141.2,200.8,786.3,70.1,17495.3,6215.2,11280.0,0.314999997615814,0.263000011444092,0.216999992728233,0.140000000596046,-0.0199999995529652,0.689999997615814,-0.0219999998807907,0.685999989509583
